# GeoMark point code list
# Format: CODE,Description
# One entry per line. Lines starting with # are comments.
# Edit this file and copy to /media/usb/geomark/point_codes.txt on your USB stick.
# Codes are automatically upper-cased on load.
#
# Source: ACG_TOPO_V1.xlsx (KLJ_TOPO_V4_Beta), point codes + line codes
# sections. Action codes (!, JTP, PC, PT, +, -) are intentionally excluded
# -- "+"/"-" are GeoMark's own breakline start/end prefix convention
# (see collector/breaklines.h), not separate point codes; !/JTP/PC/PT are
# not yet implemented in GeoMark.

# --- Point codes ---
AC,Air Conditioner
LSTL,Low Steel (Bridges)
MISCL,Misc. Line
OH,Overhead Line
OHW,Overhead Wire (Physical Wire)
OROCK,Ornamental Rock (Line)
PI,Point of Intersection
PIER,Pier (Bridge Structure Only)
PLO,Petrolium Pipeline
PLTR,Planter
PSB,Paint Stripe Blue
PSW,Paint Stripe White
PSY,Paint Stripe Yellow
PVC,PVC Pipe
RCP,Reinforced Conc. Pipe
RCPA,Reinforced Arch Concrete Pipe
RIP,Rip Rap
RR,Railroad Tracks
RRBRK,RR Profile Break Line
RRXC,Railroad Xing Concrete
RRXR,Railroad Xing Rubber
RRXT,Railroad Xing Timber
RTWB,Retaining Wall Bottom
RTWC,Concrete Retaining Wall
RTWR,Mason/Landscape Retaining Wall
RTWT,Retaining Wall Top
SAN,Sanitary Sewer Line
SCALE,Weigh Station Scale Platform
SDWK,Sidewalk
SEP,Septic Tank
SGNOH,Overhead Sign Structure
SGNS,Traffic Sign (with 2 or more Posts)
SHLD,Shoulder of Road
SIGNS,Private Sign (2 or more Posts)
SLIDE,Playground Slide
SLO,Slough
SLTDRN,Slotted Metal Drain
SPLE,Earth Spillway
SS,Storm Sewer Outlet
STM,Steam Line
STO,Storm Sewer Line
SWSET,Playground Swing Set
SWT,Railroad Switch
TBANK,Top of Bank
TBC,Top Back Curb
TBO,Telephone Booth
TFO,Telephone Fiber Optic
TNKA,Above Ground Tank
TNKP,Propane Tank (Line)
TNKU,Under Ground Tank
TNKW,Livestock Water Tank
TOE,Toe of Slope
TOP,Top of Slope
TRM,Tree Mass (Measured at Canopy Edge)
TSS,Traffic Signal Sensor
TV,TV Cable
TVFO,Fiber Optic
TVLT,Telephone Vault
TW,Tracer Wire
UEC,Underground Electric
UMC,Missle Cable
WET,Wetlands
WING,Wing Wall
WTR,Water Line
XING,Railroad Xing Unidentified
